,Index,Organism,Species,Type (Viral),Enveloped (Viral),Strain,Medium,Medium (specific),wavelength [nm],Light source,k1 [cm2/mJ],k2 [cm2/mJ],% resistant,Log-reduction dose [mJ/cm2],,k1 error,k2 error,Ref,Full Citation
,248,Fungi,Candida albicans,,,-,Liquid,-,254,,0.20,,,11.76,,,,44,"Narita K, Asano K, Naito K, Ohashi H, Sasaki M, Morimoto Y, Igarashi T, Nakane A. 222-nm UVC inactivates a wide spectrum of microbial pathogens. J Hosp Infect. 2020 Mar. DOI:10.1016/j.jhin.2020.03.03"
,249,Fungi,Saccharomyces cerevisiae,,,-,Liquid,-,222.5,,0.10,,,22.33,,,,77,Oster RH. Results of irradiating saccharomyces with monochromatic ultra-violet light:III. The absorption of ultra-violet energy by yeast. J Gen Physiol. 1934 Nov;18(2):251-4. DOI:10.1085/jgp.18.2.25178.
,250,Fungi,Saccharomyces cerevisiae,,,-,Liquid,-,254,,0.14,,,17,,,,77,Oster RH. Results of irradiating saccharomyces with monochromatic ultra-violet light:III. The absorption of ultra-violet energy by yeast. J Gen Physiol. 1934 Nov;18(2):251-4. DOI:10.1085/jgp.18.2.25178.
,251,Fungi,Saccharomyces cerevisiae,,,-,Surface,vacuum,200,,0.07,,,33,,,,78,"Hieda K, Ito T. Action spectra for inactivation and membrane damage of Saccharomyces cerevisiae cells irradiated in vacuum by monochromatic synchrotron UV radiation(155-250nm). Photochem Photobiol. 1986 Sep;44(3):409-11. DOI:10.1111/j.1751-1097.1986.tb04685.x79."
,252,Fungi,Saccharomyces cerevisiae,,,XS1972,Surface,vacuum,220,,0.11,,,21.6,,,,79,"Hieda K, Kobayashi K, Ito A, Ito T. Comparisons of the effects of vacuum-UV and far-UV synchrotron radiation on dry yeast cells of different UV sensitivities. Radiat Res. 1984 Apr;98(1):74-81."
,253,Fungi,Saccharomyces cerevisiae,,,XS2390,Surface,vacuum,220,,0.58,,,3.94,,,,79,"Hieda K, Kobayashi K, Ito A, Ito T. Comparisons of the effects of vacuum-UV and far-UV synchrotron radiation on dry yeast cells of different UV sensitivities. Radiat Res. 1984 Apr;98(1):74-81."
,254,Fungi,Saccharomyces cerevisiae,,,XS1972,Surface,vacuum,250,,0.62,,,3.7,,,,79,"Hieda K, Kobayashi K, Ito A, Ito T. Comparisons of the effects of vacuum-UV and far-UV synchrotron radiation on dry yeast cells of different UV sensitivities. Radiat Res. 1984 Apr;98(1):74-81."
,255,Fungi,Saccharomyces cerevisiae,,,XS2390,Surface,vacuum,250,,8.53,,,0.27,,,,79,"Hieda K, Kobayashi K, Ito A, Ito T. Comparisons of the effects of vacuum-UV and far-UV synchrotron radiation on dry yeast cells of different UV sensitivities. Radiat Res. 1984 Apr;98(1):74-81."
,256,Fungi,Trichophyton rubrum spores,,,-,Liquid,-,222,,0.17,,,13.64,,,,44,"Narita K, Asano K, Naito K, Ohashi H, Sasaki M, Morimoto Y, Igarashi T, Nakane A. 222-nm UVC inactivates a wide spectrum of microbial pathogens. J Hosp Infect. 2020 Mar. DOI:10.1016/j.jhin.2020.03.03"
,257,Fungi,Trichophyton rubrum spores,,,-,Liquid,-,254,,0.27,,,8.63,,,,44,"Narita K, Asano K, Naito K, Ohashi H, Sasaki M, Morimoto Y, Igarashi T, Nakane A. 222-nm UVC inactivates a wide spectrum of microbial pathogens. J Hosp Infect. 2020 Mar. DOI:10.1016/j.jhin.2020.03.03"
,231,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,254,Tunable Laser,0.14,,,17.04,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,322,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,PBS,254,,0.14,,,16.3,,,,30,Rauth AM. The Physical State of Viral Nucleic Acid and the Sensitivity of Viruses to Ultraviolet Light. Biophysical Journal. 1965;5:257-73. DOI: 10.1016/S0006-3495(65)86715-7
,348,Virus,Phage QB,ssRNA+,No,ATCC 23631-B1,Liquid,-,280,Tunable Laser,0.14,,,16.3,,8.9 PFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,387,Virus,Adenovirus,dsDNA,No,Type 2,Liquid,,222,KrCl (Microplasma),0.14,,,16.22,,,,99,"Oh, Chamteut, Peter P. Sun, Elbashir Araud, and Thanh H. Nguyen. “Mechanism and Efficacy of Virus Inactivation by a Microplasma UV Lamp Generating Monochromatic UV Irradiation at 222 Nm.” Water Research 186 (November 1, 2020): 116386. https://doi.org/10.1016/j.watres.2020.116386."
,125,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,230,Tunable Laser,0.14,,,16.15,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,268,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,270,Tunable Laser,0.15,,,15.78,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,236,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,260,Tunable Laser,0.15,,,15.73,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,314,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,PBS,230,,0.15,,,15.38,,,,87,"Beck SE, Rodriguez RA, Hawkins MA, Hargy TM, Larason TC, Linden KG. Comparison of UV-Induced Inactivation and RNA Damage in MS2 Phage across the Germicidal UV Spectrum.ApplEnviron Microbiol. 2015 Dec;82(5):1468-74. DOI:10.1128/AEM.02773-1588."
,237,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,260,Tunable Laser,0.15,,,15.34,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,232,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,254,Tunable Laser,0.15,,,15.2,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,306,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,210,Tunable Laser,0.15,,,15.15,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,258,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,270,Tunable Laser,0.16,,,14.53,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,339,Virus,Staphylococcus aureus phage,dsDNA,,-,Liquid,-,230,,0.16,,,14.33,,,,93,Gates FL. Results of irradiating staphylococcus aureus bacteriophage with monochromatic ultraviolet light. J Exp Med.1934 Jul;60(2):179-88.DOI: 10.1084/jem.60.2.179
,234,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,254,Tunable Laser,0.16,,,14.32,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,320,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,PBS,254,,0.16,,,14.29,,,,88,"Wang Y, Araud E, Shisler JL, Nguyen TH, Yuan B. Influence of algal organic matter on MS2 bacteriophage inactivation by ultraviolet irradiation at 220 nm and 254 nm. Chemosphere. 2019 Jan;214:195-202.DOI:10.1016/j.chemosphere.2018.09.06"
,238,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,260,Tunable Laser,0.17,,,13.52,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,274,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,270,Tunable Laser,0.18,,,12.73,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,149,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,270,Tunable Laser,0.19,,,12.19,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,338,Virus,Human coronavirus,ssRNA+,Yes,SARS-CoV-2 Japan Al I -004,Surface,polystyrene,222,,0.19,,,12,,,,92,"Kitagawa H, Nomura T, Nazmul T, Omori K, Shigemoto N, Sakaguchi T, Ohge H. Effectiveness of 222-nm ultraviolet light on disinfectingSARS-CoV-2 surface contamination.Am J InfectControl. 2020 Sep 4:S0196-6553(20)30809-9. DOI:10.1016/j.ajic.2020. 08.022"
,335,Virus,Reovirus 3,dsRNA,No,-,Liquid,PBS,254,,0.19,,,11.96,,,,30,Rauth AM. The Physical State of Viral Nucleic Acid and the Sensitivity of Viruses to Ultraviolet Light. Biophysical Journal. 1965;5:257-73. DOI: 10.1016/S0006-3495(65)86715-7
,239,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,260,Tunable Laser,0.19,,,11.94,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,331,Virus,Phage QB,ssRNA+,No,ATCC 23631-B1,Liquid,-,254,Tunable Laser,0.20,,,11.27,,,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,313,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,PBS,225,,0.20,,,11.24,,,,30,Rauth AM. The Physical State of Viral Nucleic Acid and the Sensitivity of Viruses to Ultraviolet Light. Biophysical Journal. 1965;5:257-73. DOI: 10.1016/S0006-3495(65)86715-7
,337,Virus,Rotavirus,dsRNA,No,ATCC porcine strain OSU,Liquid,wastewater,254,,0.21,,,11.11,,,,91,"Araud E, Fuzawa M, Shisler JL, Li J, Nguyen TH. UV Inactivation of Rotavirus and Tulane Virus Targets Different Components of the Virions. Appl Environ Microbiol. 2020 02;86(4).DOI:10.1128/AEM.02436-19"
,345,Virus,Phage QB,ssRNA+,No,ATCC 23631-B1,Liquid,-,254,Tunable Laser,0.21,,,11,,8.9 PFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,347,Virus,Phage QB,ssRNA+,No,ATCC 23631-B1,Liquid,-,270,Tunable Laser,0.21,,,11,,8.9 PFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,330,Virus,Phage QB,ssRNA+,No,ATCC 23631-B1,Liquid,-,230,Tunable Laser,0.22,,,10.67,,,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,276,Virus,Human coronavirus,ssRNA+,Yes,HCOV229E,Aerosol,RH50-70 %,222,Filtered KrCl (USHIO),4.11,,,0.56,,,,14,"Buonanno M, Welch D, Shuryak I, Brenner DJ. Far-UVC light (222 nm) efficiently and safely inactivates airborne humancorona viruses. Sci Rep. 2020 06;10(1):10285.DOI:10.1038/s41598-020-67211-2 "
,312,Virus,Phage MS2,ssRNA+,No,-,Liquid,-,222,,0.22,,,10.31,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
,277,Virus,Human coronavirus,ssRNA+,Yes,HCOV-OC43,Aerosol,RH50-70 %,222,Filtered KrCl (USHIO),5.90,,,0.39,,,,14,"Buonanno M, Welch D, Shuryak I, Brenner DJ. Far-UVC light (222 nm) efficiently and safely inactivates airborne humancorona viruses. Sci Rep. 2020 06;10(1):10285.DOI:10.1038/s41598-020-67211-2"
,321,Virus,Phage MS2,ssRNA+,No,-,Liquid,-,222,,0.22,,,10.31,,,,33,"Clauss M, Springorum AC, Hartung J. Ultraviolet disinfection with 222 nm wavelength– New options to inactivate UV-resistant pathogens. In: Briese A, Clau ßM, Hartung J, Springorum AC, Hrsg. Proceedingsof the 14th ISAH Congress 2009 – International Society for Animal Hygiene, 19th to 23rd July, Vechta, Germany, Vol. 2. Brno: Tribun EU; 2009.pp. 740-2"
,315,Virus,Phage T1,dsDNA,No,HER468 (UV),Liquid,-,290,Tunable Laser,0.22,,,10.29,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,297,Virus,Phage T1,dsDNA,No,HER468 (UV),Liquid,-,254,Tunable Laser,0.24,,,9.68,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,272,Virus,Feline calcivirus,ssRNA+,No,-,Liquid,-,222,,0.24,,,9.57,,,,44,"Narita K, Asano K, Naito K, Ohashi H, Sasaki M, Morimoto Y, Igarashi T, Nakane A. 222-nm UVC inactivates a wide spectrum of microbial pathogens. J Hosp Infect. 2020 Mar. DOI:10.1016/j.jhin.2020.03.03"
,273,Virus,Feline calcivirus,ssRNA+,No,-,Liquid,-,254,,0.24,,,9.57,,,,44,"Narita K, Asano K, Naito K, Ohashi H, Sasaki M, Morimoto Y, Igarashi T, Nakane A. 222-nm UVC inactivates a wide spectrum of microbial pathogens. J Hosp Infect. 2020 Mar. DOI:10.1016/j.jhin.2020.03.03"
,173,Virus,Phage QB,ssRNA+,No,ATCC 23631-B1,Liquid,-,230,Tunable Laser,0.24,,,9.5,,8.9 PFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,299,Virus,Phage T1,dsDNA,No,HER468 (UV),Liquid,-,240,Tunable Laser,0.25,,,9.35,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,316,Virus,Phage T1,dsDNA,No,HER468 (UV),Liquid,-,290,Tunable Laser,0.25,,,9.1,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,301,Virus,Phage T1,dsDNA,No,HER468 (UV),Liquid,-,240,Tunable Laser,0.27,,,8.66,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,367,Virus,Phage Phi6,dsRNA,Yes,-,Liquid,,222,"Unfiltered KrCl (USHIO, Far UV Technologies)",0.27,,,8.53,,0.01,,96,"Ma, Ben, Yarrow S. Linden, Patricia M. Gundy, Charles P. Gerba, Mark D. Sobsey, and Karl G. Linden. “Inactivation of Coronaviruses and Phage Phi6 from Irradiation across UVC Wavelengths.” Environmental Science & Technology Letters 8, no. 5 (May 11, 2021): 425–30. https://doi.org/10.1021/acs.estlett.1c00178."
,287,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,210,Tunable Laser,2.28,,,1.01,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,368,Virus,Human coronavirus,ssRNA+,Yes,HCoV 229E,Liquid,,282,LED,0.27,,,8.53,,0.02,,96,"Ma, Ben, Yarrow S. Linden, Patricia M. Gundy, Charles P. Gerba, Mark D. Sobsey, and Karl G. Linden. “Inactivation of Coronaviruses and Phage Phi6 from Irradiation across UVC Wavelengths.” Environmental Science & Technology Letters 8, no. 5 (May 11, 2021): 425–30. https://doi.org/10.1021/acs.estlett.1c00178."
,288,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,210,Tunable Laser,1.37,,,1.68,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,346,Virus,Phage QB,ssRNA+,No,ATCC 23631-B1,Liquid,-,260,Tunable Laser,0.27,,,8.5,,8.9 PFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,311,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,222,,0.28,,,8.35,,,,52,"Raeiszadeh M, Taghipour F. Inactivation of microorganisms by newly emerged microplasma UV lamps. Chemical Engineering Journal.2020:127490. DOI: 10.1016/j.cej.2020.127490"
,289,Protist,Cryptosporidium parvum,,,lowa isolate,Liquid,-,210,Tunable Laser,1.12,,,2.05,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,290,Bacterial spores,Bacillus pumilus spores,,,ASFUVRC,Liquid,-,220,MP Mercury,0.26,,,9.02,,11.5 CFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,400,Virus,Phage MS2,ssRNA+,No,,Aerosol,,280,LED,0.28,,,8.22,,0.02,,101,"Kim DK, Kang DH. UVC LED Irradiation Effectively Inactivates Aerosolized Viruses, Bacteria, and Fungi in a Chamber-Type Air Disinfection System. Appl Environ Microbiol. 2018 Aug 17;84(17):e00944-18. doi: 10.1128/AEM.00944-18. PMID: 29959245; PMCID: PMC6102977."
,298,Virus,Phage T1,dsDNA,No,HER468 (UV),Liquid,-,254,Tunable Laser,0.29,,,8.06,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,291,Bacterial spores,Bacillus pumilus spores,,,ASFUVRC,Liquid,-,230,MP Mercury,0.09,,,26.64,,11.5 CFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,340,Virus,Staphylococcus aureus phage,dsDNA,,-,Liquid,-,254,,0.29,,,8,,,,93,Gates FL. Results of irradiating staphylococcus aureus bacteriophage with monochromatic ultraviolet light. J Exp Med.1934 Jul;60(2):179-88.DOI: 10.1084/jem.60.2.179
,341,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,220,Tunable Laser,0.29,,,7.87,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,292,Bacterial spores,Bacillus pumilus spores,,,ASFUVRC,Liquid,-,258,MP Mercury,0.03,,,76.23,,11.5 CFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,317,Virus,Phage T1,dsDNA,No,HER468 (UV),Liquid,-,290,Tunable Laser,0.29,,,7.81,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,308,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,220,Tunable Laser,0.30,,,7.67,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,293,Bacterial spores,Bacillus pumilus spores,,,ASFUVRC,Liquid,-,244,MP Mercury,0.03,,,73.36,,11.5 CFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,316,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,230,,0.30,,,7.67,,,,89,"Hull NM, Linden KG. Synergyof MS2 disinfection by sequential exposureto tailored UV wavelengths. Water Res. 201810;143:292-300.DOI: 10.1016/j.watres.2018.06.017"
,310,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,PBS,220,,0.31,,,7.35,,,,87,"Beck SE, Rodriguez RA, Hawkins MA, Hargy TM, Larason TC, Linden KG. Comparison of UV-Induced Inactivation and RNA Damage in MS2 Phage across the Germicidal UV Spectrum.ApplEnviron Microbiol. 2015 Dec;82(5):1468-74. DOI:10.1128/AEM.02773-1588."
,294,Bacterial spores,Bacillus pumilus spores,,,ASFUVRC,Liquid,-,264,MP Mercury,0.03,,,77.46,,11.5 CFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,305,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,210,Tunable Laser,0.31,,,7.32,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,303,Virus,Phage T1,dsDNA,No,HER468 (UV),Liquid,-,240,Tunable Laser,0.32,,,7.28,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,295,Bacterial spores,Bacillus pumilus spores,,,ASFUVRC,Liquid,-,270,MP Mercury,0.03,,,74.59,,11.5 CFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,375,Virus,Phage Phi6,dsRNA,Yes,-,Liquid,,270,LED,0.32,,,7.20,,0.001,,96,"Ma, Ben, Yarrow S. Linden, Patricia M. Gundy, Charles P. Gerba, Mark D. Sobsey, and Karl G. Linden. “Inactivation of Coronaviruses and Phage Phi6 from Irradiation across UVC Wavelengths.” Environmental Science & Technology Letters 8, no. 5 (May 11, 2021): 425–30. https://doi.org/10.1021/acs.estlett.1c00178."
,261,Virus,Adenovirus,dsDNA,No,ATCCVR846,Liquid,water,222,,0.33,,,7.04,,,,81,"Oh C, Sun PP, Araud E, Nguyen TH. Mechanism and efficacy of virus inactivation by a microplasma UV lamp generating monochromaticUV irradiation at 222 nm. Water Res. 2020 Nov;186:116386.DOI: 10.1016/j.watres.2020.116386"
,300,Virus,Phage T1,dsDNA,No,HER468 (UV),Liquid,-,254,Tunable Laser,0.34,,,6.81,,-,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,296,Bacterial spores,Bacillus pumilus spores,,,ASFUVRC,Liquid,-,281,MP Mercury,0.03,,,87.71,,11.5 CFU/mL,,69,"Beck SE, Wright HB, Hargy TM, Larason TC, Linden KG. Action spectra for validation of pathogen disinfection in medium-pressure ultraviolet (UV) systems. Water Res. 2015 Mar;70:27-37. DOI: 10.1016/j.watres.2014.11.028"
,308,Virus,Phage MS2,ssRNA+,No,ATCC15597B1,Liquid,-,214,,0.34,,,6.76,,,,71,"Mamane-Gravetz H, LindenKG, CabajA, SommerR. Spectral sensitivity of Bacillus subtilis spores and MS2 coli phage for validation testing of ultraviolet reactors for water disinfection. Environ Sci Technol.2005 Oct; 39(20):7845-52.DOI:10.1021/es048446t"
,371,Virus,Human coronavirus,ssRNA+,Yes,HCoV 229E,Liquid,,270,LED,0.35,,,6.58,,0.03,,96,"Ma, Ben, Yarrow S. Linden, Patricia M. Gundy, Charles P. Gerba, Mark D. Sobsey, and Karl G. Linden. “Inactivation of Coronaviruses and Phage Phi6 from Irradiation across UVC Wavelengths.” Environmental Science & Technology Letters 8, no. 5 (May 11, 2021): 425–30. https://doi.org/10.1021/acs.estlett.1c00178."
